"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-miR-30a-5p",1,23,12,37,31,55,55,31,1,12,6,3,4,2,5,0,25,3,13,7,2,8,11,6,21,1,7,14,15,5,18,2,11,76,9,11,17,5,24,12,4,7,7,9,11,5,74,5
"hsa-miR-30b-5p",2,1,0,2,1,1,3,5,0,5,3,0,1,0,0,0,1,0,0,0,1,0,0,1,25,0,1,1,2,0,0,0,2,9,0,0,1,0,1,0,0,0,0,2,4,0,3,0
"hsa-miR-30c-5p",2,20,5,34,9,21,18,14,2,12,7,3,4,1,1,0,13,0,4,1,1,2,2,2,89,3,6,6,9,1,5,2,11,24,4,6,0,0,13,7,5,2,2,2,8,1,5,5
"hsa-miR-30d-5p",45,82,41,126,68,221,111,92,14,104,18,12,15,7,13,0,72,12,15,4,7,16,14,25,664,4,23,34,28,5,41,2,43,98,36,60,12,7,45,37,14,17,22,15,42,13,45,28
"hsa-miR-30e-5p",5,12,4,30,14,20,60,16,1,16,1,1,1,1,1,0,12,0,2,0,3,2,2,0,107,0,3,9,11,4,7,0,17,14,3,5,2,2,13,10,3,5,6,2,14,5,37,6
"hsa-miR-320a-3p",3,11,3,16,7,4,629,19,0,12,6,4,4,0,0,0,10,0,0,0,0,1,4,3,33,0,2,0,5,4,0,0,9,8,0,0,0,0,0,2,0,0,0,0,7,0,10,5
"hsa-miR-339-3p",3,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"hsa-miR-342-3p",3,15,17,2,17,14,5,5,1,5,7,3,6,3,6,0,15,5,10,1,1,3,2,5,14,4,0,6,2,0,6,2,5,16,12,12,0,4,1,6,5,4,2,2,9,0,1,0
"hsa-miR-3615",1,0,2,5,1,5,1,8,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,8,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"hsa-miR-363-3p",5,2,3,5,0,1,14,2,0,6,2,2,2,0,0,0,8,0,2,1,1,0,2,3,10,0,2,4,2,2,3,0,6,7,3,2,1,0,5,6,0,0,1,0,5,1,7,3
"hsa-miR-378a-3p",1,5,1,3,2,2,14,7,0,4,4,1,2,0,0,0,2,0,2,0,1,0,0,0,10,0,1,1,0,0,0,0,2,9,0,2,2,0,0,3,0,0,1,1,1,0,2,1
"hsa-miR-409-3p",1,1,0,3,2,10,0,1,3,4,3,2,1,0,1,0,1,1,0,0,1,0,1,1,37,0,3,1,1,0,0,0,1,5,1,1,0,0,2,4,1,1,1,0,2,0,0,2
"hsa-miR-423-3p",4,26,8,52,14,47,18,40,0,31,17,3,5,2,6,0,28,2,4,2,1,4,4,10,331,3,9,7,5,1,11,1,6,31,2,7,6,1,15,9,6,4,13,3,15,1,6,19
"hsa-miR-423-5p",55,240,81,267,109,271,374,395,16,220,228,63,75,7,24,0,272,10,87,25,18,15,42,59,1118,14,54,88,50,28,100,7,111,245,50,60,57,19,115,163,38,27,52,41,90,24,78,124
"hsa-miR-425-5p",6,8,0,9,7,26,16,5,0,6,4,2,2,0,2,0,9,1,3,1,0,1,0,6,66,0,4,5,2,1,2,2,4,8,1,3,2,0,7,9,3,0,7,2,7,0,10,4
"hsa-miR-4433b-3p",1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
